ticker,date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Preferred Stock Dividend Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Unrealized Gain Loss On Investment Securities,Amortization Of Securities,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,Net Long Term Debt Issuance,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Capital Expenditure Reported,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Dividends Received Cfi,Change In Other Current Liabilities,Change In Other Current Assets,Issuance Of Debt,Short Term Debt Payments,Long Term Debt Issuance,Dividend Received Cfo,Earnings Losses From Equity Investments,Gain Loss On Sale Of Business,Short Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Sale Of PPE,Change In Prepaid Assets,Provisionand Write Offof Assets,Other Cash Adjustment Outside Changein Cash,Change In Accrued Expense,Change In Interest Payable,Pension And Employee Benefit Expense,Net Foreign Currency Exchange Gain Loss,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash From Discontinued Operating Activities,Taxes Refund Paid,Interest Paid Cfo,Gain Loss On Sale Of PPE,Preferred Stock Payments,Sale Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Cash Flow From Discontinued Operation,Interest Received Cfi,Other Cash Adjustment Inside Changein Cash,Interest Paid Cff,Excess Tax Benefit From Stock Based Compensation,Depletion,Dividend Paid Cfo,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities
HIG,2025-06-30,1251000000.0,-415000000.0,,-40000000.0,42000000.0,520000000.0,219000000.0,216000000.0,-2000000.0,5000000.0,-543000000.0,-543000000.0,5000000.0,21000000.0,-154000000.0,-5000000.0,-149000000.0,-415000000.0,-415000000.0,,,-743000000.0,-743000000.0,-29000000.0,-365000000.0,2584000000.0,-2949000000.0,-209000000.0,59000000.0,-268000000.0,-40000000.0,-40000000.0,1291000000.0,1291000000.0,213000000.0,-200000000.0,-256000000.0,-256000000.0,-646000000.0,,625000000.0,94000000.0,30000000.0,30000000.0,995000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2025-03-31,947000000.0,-400000000.0,,-38000000.0,61000000.0,4000000.0,216000000.0,234000000.0,6000000.0,-24000000.0,-608000000.0,-608000000.0,1000000.0,-54000000.0,-155000000.0,-5000000.0,-150000000.0,-400000000.0,-400000000.0,,,-401000000.0,-401000000.0,-24000000.0,-258000000.0,2929000000.0,-3187000000.0,-121000000.0,56000000.0,-177000000.0,-38000000.0,-38000000.0,985000000.0,985000000.0,147000000.0,-504000000.0,-464000000.0,-464000000.0,-540000000.0,,607000000.0,92000000.0,49000000.0,49000000.0,630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-12-31,1900000000.0,-414000000.0,,-38000000.0,43000000.0,149000000.0,234000000.0,281000000.0,-18000000.0,-29000000.0,-547000000.0,-547000000.0,3000000.0,6000000.0,-142000000.0,-5000000.0,-137000000.0,-414000000.0,-414000000.0,,,-1356000000.0,-1356000000.0,19000000.0,-1343000000.0,2883000000.0,-4226000000.0,-87000000.0,102000000.0,-189000000.0,26000000.0,26000000.0,1874000000.0,1874000000.0,797000000.0,42000000.0,46000000.0,46000000.0,-468000000.0,,591000000.0,84000000.0,-73000000.0,-73000000.0,853000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-09-30,1618000000.0,-400000000.0,,-60000000.0,62000000.0,206000000.0,281000000.0,210000000.0,2000000.0,69000000.0,-520000000.0,-520000000.0,-1000000.0,25000000.0,-144000000.0,-6000000.0,-138000000.0,-400000000.0,-400000000.0,,,-1089000000.0,-1089000000.0,-27000000.0,-820000000.0,2646000000.0,-3466000000.0,-126000000.0,35000000.0,-161000000.0,-60000000.0,-60000000.0,1678000000.0,1678000000.0,799000000.0,191000000.0,166000000.0,166000000.0,-571000000.0,-26000000.0,585000000.0,85000000.0,39000000.0,39000000.0,767000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-06-30,1199000000.0,-350000000.0,,-61000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,,,-888000000.0,-888000000.0,-27000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2024-03-31,1199000000.0,-350000000.0,,-50000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,,,-888000000.0,-888000000.0,-27000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,2023-12-31,1199000000.0,-350000000.0,0.0,-50000000.0,54000000.0,455000000.0,210000000.0,322000000.0,-4000000.0,-108000000.0,-480000000.0,-480000000.0,-3000000.0,18000000.0,-145000000.0,-5000000.0,-140000000.0,-350000000.0,-350000000.0,0.0,0.0,-888000000.0,-888000000.0,-10000000.0,-584000000.0,3166000000.0,-3750000000.0,-89000000.0,69000000.0,-158000000.0,-61000000.0,-61000000.0,1260000000.0,1260000000.0,400000000.0,-298000000.0,-339000000.0,-339000000.0,-558000000.0,-26000000.0,561000000.0,60000000.0,123000000.0,123000000.0,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-06-30,246000000.0,-334700000.0,0.0,-68200000.0,12300000.0,22500000.0,1185900000.0,1387800000.0,,-201900000.0,-438600000.0,-438600000.0,,0.0,-103900000.0,,-103900000.0,-334700000.0,-334700000.0,0.0,0.0,-77500000.0,-77500000.0,0.0,-9300000.0,126600000.0,-135900000.0,,,,,,314200000.0,314200000.0,37900000.0,67300000.0,-24300000.0,,-1100000.0,,,115900000.0,,,105000000.0,0.0,-6700000.0,-6700000.0,-61500000.0,21700000.0,21700000.0,21700000.0,-26800000.0,55100000.0,0.0,1400000.0,1400000.0,115900000.0,45800000.0,45800000.0,70100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2025-03-31,363300000.0,-500600000.0,0.0,-46100000.0,400000.0,111700000.0,1387800000.0,1602500000.0,,-214700000.0,-591200000.0,-591200000.0,,20000000.0,-110600000.0,,-110600000.0,-500600000.0,-500600000.0,0.0,0.0,-32900000.0,-32900000.0,100000.0,13100000.0,142400000.0,-129300000.0,,,,,,409400000.0,409400000.0,143600000.0,-60400000.0,148100000.0,,0.0,,,114200000.0,,,68700000.0,0.0,-7600000.0,-7600000.0,-38500000.0,30800000.0,30800000.0,30800000.0,25100000.0,62700000.0,0.0,20200000.0,20200000.0,114200000.0,45600000.0,45600000.0,68600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-12-31,328400000.0,-38300000.0,0.0,-48800000.0,12000000.0,3300000.0,1602500000.0,1368600000.0,,233900000.0,-150800000.0,-150800000.0,,0.0,-112500000.0,,-112500000.0,-38300000.0,-38300000.0,0.0,0.0,7500000.0,7500000.0,2100000.0,54200000.0,204900000.0,-150700000.0,,,,,,377200000.0,377200000.0,51200000.0,-4600000.0,-11200000.0,,-2600000.0,,,116000000.0,,,162000000.0,0.0,-9800000.0,-9800000.0,-39000000.0,-19900000.0,-19900000.0,-19900000.0,86900000.0,51100000.0,0.0,-500000.0,-500000.0,116000000.0,48400000.0,48400000.0,67600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-09-30,387400000.0,-1900000.0,0.0,-88700000.0,600000.0,26900000.0,1368600000.0,1263400000.0,,105200000.0,-99500000.0,-99500000.0,,14400000.0,-112000000.0,,-112500000.0,-1900000.0,-1900000.0,0.0,0.0,-271400000.0,-271400000.0,1300000.0,-184000000.0,61200000.0,-245200000.0,,,,,,476100000.0,476100000.0,238800000.0,91400000.0,98500000.0,,-1700000.0,,,115400000.0,,,60500000.0,0.0,-5900000.0,-5900000.0,-82800000.0,10000000.0,10000000.0,10000000.0,38900000.0,38200000.0,131100000.0,-106200000.0,-106200000.0,115400000.0,46900000.0,46900000.0,68500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-06-30,244000000.0,-78300000.0,0.0,-29400000.0,12400000.0,24500000.0,1263400000.0,1205400000.0,,58000000.0,-187400000.0,-187400000.0,,0.0,-109100000.0,,-109100000.0,-78300000.0,-78300000.0,0.0,0.0,-28000000.0,-28000000.0,5900000.0,-4500000.0,9900000.0,-14400000.0,,,,,,273400000.0,273400000.0,-100000.0,-25600000.0,7900000.0,,-4100000.0,,,112300000.0,,,120900000.0,0.0,-5000000.0,-5000000.0,-24400000.0,3800000.0,3800000.0,3800000.0,13800000.0,42800000.0,700000.0,900000.0,900000.0,112300000.0,46000000.0,46000000.0,66300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,2024-03-31,244000000.0,-78300000.0,0.0,-29400000.0,12400000.0,24500000.0,1263400000.0,1205400000.0,,58000000.0,-187400000.0,-187400000.0,,0.0,-109100000.0,,-109100000.0,-78300000.0,-78300000.0,0.0,0.0,-28000000.0,-28000000.0,5900000.0,-4500000.0,9900000.0,-14400000.0,,,,,,273400000.0,273400000.0,-100000.0,-25600000.0,7900000.0,,-4100000.0,,,112300000.0,,,120900000.0,0.0,-5000000.0,-5000000.0,-24400000.0,3800000.0,3800000.0,3800000.0,13800000.0,42800000.0,700000.0,900000.0,900000.0,112300000.0,46000000.0,46000000.0,66300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2025-06-30,7125000000.0,,,-14000000.0,1044000000.0,153000000.0,49745000000.0,42673000000.0,306000000.0,6766000000.0,-331000000.0,-331000000.0,-303000000.0,,-35000000.0,,-35000000.0,,,-4000000.0,,-42000000.0,-42000000.0,,-28000000.0,,-28000000.0,,,,-14000000.0,-14000000.0,7139000000.0,7139000000.0,6080000000.0,-7578000000.0,-8532000000.0,-1489000000.0,8000000.0,-16000000.0,,23000000.0,,,1006000000.0,,,,,18210000000.0,18210000000.0,17763000000.0,,28000000.0,1000000.0,9000000.0,9000000.0,23000000.0,,,23000000.0,,,-4000000.0,,4577000000.0,-597000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2025-03-31,2568000000.0,,,-16000000.0,963000000.0,40000000.0,42673000000.0,40233000000.0,107000000.0,2333000000.0,-225000000.0,-225000000.0,-196000000.0,,-27000000.0,,-27000000.0,,,-2000000.0,,-26000000.0,-26000000.0,,-10000000.0,,-10000000.0,,,,-16000000.0,-16000000.0,2584000000.0,2584000000.0,1575000000.0,-1548000000.0,-1999000000.0,574000000.0,9000000.0,-17000000.0,,22000000.0,,,964000000.0,,,,,6039000000.0,6039000000.0,5311000000.0,,31000000.0,1000000.0,-1000000.0,-1000000.0,22000000.0,,,22000000.0,,,-2000000.0,,605000000.0,-1522000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2024-12-31,1823000000.0,0.0,,-15000000.0,1071000000.0,66000000.0,40233000000.0,38811000000.0,-248000000.0,1670000000.0,-186000000.0,-186000000.0,-139000000.0,,-27000000.0,,-27000000.0,-1000000.0,0.0,-19000000.0,,18000000.0,18000000.0,,-12000000.0,,-12000000.0,,,,-15000000.0,-15000000.0,1838000000.0,1838000000.0,800000000.0,3257000000.0,-4691000000.0,-8427000000.0,16000000.0,6000000.0,,23000000.0,,,969000000.0,,,,,1933000000.0,1933000000.0,2764000000.0,,32000000.0,1000000.0,-9000000.0,-9000000.0,23000000.0,,,23000000.0,-1000000.0,-1000000.0,-19000000.0,45000000.0,-658000000.0,959000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2024-09-30,3571000000.0,0.0,,-11000000.0,1079000000.0,61000000.0,38811000000.0,35288000000.0,153000000.0,3370000000.0,-177000000.0,-177000000.0,-172000000.0,,-27000000.0,,-27000000.0,0.0,0.0,22000000.0,,-35000000.0,-35000000.0,,-24000000.0,,-24000000.0,,,,-11000000.0,-11000000.0,3582000000.0,3582000000.0,2696000000.0,-2785000000.0,-4341000000.0,-761000000.0,6000000.0,-13000000.0,,25000000.0,,,834000000.0,,,,,9993000000.0,9993000000.0,9206000000.0,,26000000.0,7000000.0,1000000.0,1000000.0,25000000.0,,,25000000.0,0.0,0.0,22000000.0,0.0,1044000000.0,-1215000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2024-06-30,1610000000.0,0.0,,-11000000.0,1034000000.0,120000000.0,35288000000.0,34024000000.0,-10000000.0,1274000000.0,-333000000.0,-333000000.0,-306000000.0,,-27000000.0,,-27000000.0,0.0,0.0,-3000000.0,,-14000000.0,-14000000.0,,-3000000.0,,-3000000.0,,,,-11000000.0,-11000000.0,1621000000.0,1621000000.0,760000000.0,974000000.0,-3444000000.0,-3859000000.0,6000000.0,-13000000.0,,24000000.0,,,809000000.0,,,,,2249000000.0,2249000000.0,2176000000.0,,26000000.0,2000000.0,7000000.0,7000000.0,24000000.0,,,24000000.0,0.0,0.0,-3000000.0,0.0,1703000000.0,-722000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2024-03-31,1610000000.0,0.0,,-11000000.0,1034000000.0,120000000.0,35288000000.0,34024000000.0,-10000000.0,1274000000.0,-333000000.0,-333000000.0,-306000000.0,,-27000000.0,,-27000000.0,0.0,0.0,-3000000.0,,-14000000.0,-14000000.0,,-3000000.0,,-3000000.0,,,,-11000000.0,-11000000.0,1621000000.0,1621000000.0,760000000.0,974000000.0,-3444000000.0,-3859000000.0,6000000.0,-13000000.0,,24000000.0,,,809000000.0,,,,,2249000000.0,2249000000.0,2176000000.0,,26000000.0,2000000.0,7000000.0,7000000.0,24000000.0,,,24000000.0,0.0,0.0,-3000000.0,0.0,1703000000.0,-722000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2023-12-31,1610000000.0,0.0,,-11000000.0,1034000000.0,120000000.0,35288000000.0,34024000000.0,-10000000.0,1274000000.0,-333000000.0,-333000000.0,-306000000.0,,-27000000.0,,-27000000.0,0.0,0.0,-3000000.0,,-14000000.0,-14000000.0,,-3000000.0,,-3000000.0,,,,-11000000.0,-11000000.0,1621000000.0,1621000000.0,760000000.0,974000000.0,-3444000000.0,-3859000000.0,6000000.0,-13000000.0,,24000000.0,,,809000000.0,,,,,2249000000.0,2249000000.0,2176000000.0,,26000000.0,2000000.0,7000000.0,7000000.0,24000000.0,,,24000000.0,0.0,0.0,-3000000.0,0.0,1703000000.0,-722000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2025-06-30,-188000000.0,-91000000.0,0.0,-539000000.0,,,1704000000.0,1870000000.0,38000000.0,-204000000.0,-51000000.0,-51000000.0,-14000000.0,,-445000000.0,,-445000000.0,-91000000.0,-91000000.0,499000000.0,0.0,-504000000.0,-504000000.0,52000000.0,-9000000.0,225000000.0,,,,,,,351000000.0,351000000.0,117000000.0,,359000000.0,359000000.0,-271000000.0,,,332000000.0,-7000000.0,,115000000.0,499000000.0,,,-539000000.0,-355000000.0,-355000000.0,-355000000.0,113000000.0,20000000.0,,-5000000.0,-5000000.0,332000000.0,,,,,,,,,,499000000.0,,499000000.0,,-7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2025-03-31,-1062000000.0,-110000000.0,0.0,-483000000.0,,,1870000000.0,3388000000.0,38000000.0,-1556000000.0,-547000000.0,-547000000.0,-4000000.0,,-433000000.0,,-433000000.0,-110000000.0,-110000000.0,0.0,0.0,-430000000.0,-430000000.0,-6000000.0,59000000.0,59000000.0,,,,,,,-579000000.0,-579000000.0,-716000000.0,,-440000000.0,-440000000.0,-372000000.0,,,323000000.0,-1000000.0,,177000000.0,0.0,,,-483000000.0,-78000000.0,-78000000.0,-78000000.0,-198000000.0,35000000.0,,-25000000.0,-25000000.0,323000000.0,,,,,,,,,,0.0,,0.0,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2024-12-31,1411000000.0,-78000000.0,-1000000.0,-504000000.0,,,3388000000.0,2635000000.0,-97000000.0,850000000.0,-518000000.0,-518000000.0,-2000000.0,,-437000000.0,,-437000000.0,-78000000.0,-78000000.0,-1000000.0,-1000000.0,-547000000.0,-547000000.0,-48000000.0,28000000.0,504000000.0,-476000000.0,-23000000.0,-11000000.0,-12000000.0,,,1915000000.0,1915000000.0,1093000000.0,,540000000.0,540000000.0,244000000.0,,,389000000.0,160000000.0,,-603000000.0,-1000000.0,,,-504000000.0,95000000.0,95000000.0,95000000.0,458000000.0,20000000.0,944000000.0,-358000000.0,-358000000.0,389000000.0,,,,,,0.0,,,,0.0,0.0,0.0,26000000.0,151000000.0,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2024-09-30,302000000.0,-42000000.0,0.0,-368000000.0,,,2635000000.0,2864000000.0,68000000.0,-297000000.0,-484000000.0,-484000000.0,-5000000.0,,-437000000.0,,-437000000.0,-42000000.0,-42000000.0,0.0,0.0,-483000000.0,-483000000.0,-106000000.0,28000000.0,504000000.0,-476000000.0,-27000000.0,0.0,-27000000.0,,,670000000.0,670000000.0,-497000000.0,,191000000.0,191000000.0,138000000.0,,,381000000.0,20000000.0,,573000000.0,0.0,,,-368000000.0,-590000000.0,-590000000.0,-590000000.0,-98000000.0,18000000.0,5000000.0,-24000000.0,-24000000.0,381000000.0,,,,,,0.0,,,,0.0,0.0,0.0,56000000.0,20000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2024-06-30,864000000.0,-75000000.0,0.0,-484000000.0,,,2864000000.0,2331000000.0,-21000000.0,554000000.0,-481000000.0,-481000000.0,32000000.0,,-438000000.0,,-438000000.0,-75000000.0,-75000000.0,0.0,0.0,-313000000.0,-313000000.0,-17000000.0,28000000.0,504000000.0,-476000000.0,-27000000.0,0.0,-27000000.0,,,1348000000.0,1348000000.0,63000000.0,,113000000.0,113000000.0,235000000.0,,,387000000.0,-274000000.0,,924000000.0,0.0,,,-484000000.0,177000000.0,177000000.0,177000000.0,-227000000.0,19000000.0,0.0,-46000000.0,-46000000.0,387000000.0,,,,,,0.0,,,,0.0,0.0,0.0,39000000.0,19000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2024-03-31,864000000.0,-75000000.0,0.0,-484000000.0,,,2864000000.0,2331000000.0,-21000000.0,554000000.0,-481000000.0,-481000000.0,32000000.0,,-438000000.0,,-438000000.0,-75000000.0,-75000000.0,0.0,0.0,-313000000.0,-313000000.0,-17000000.0,0.0,0.0,-476000000.0,-27000000.0,0.0,-27000000.0,,,1348000000.0,1348000000.0,63000000.0,,113000000.0,113000000.0,235000000.0,,,387000000.0,-274000000.0,,924000000.0,0.0,,,-484000000.0,177000000.0,177000000.0,177000000.0,-227000000.0,19000000.0,0.0,-46000000.0,-46000000.0,387000000.0,,,,,,0.0,,,,0.0,0.0,0.0,1000000.0,19000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,2023-12-31,864000000.0,-75000000.0,0.0,-484000000.0,,,2864000000.0,2331000000.0,-21000000.0,554000000.0,-481000000.0,-481000000.0,32000000.0,,-438000000.0,,-438000000.0,-75000000.0,-75000000.0,0.0,0.0,-313000000.0,-313000000.0,-17000000.0,21000000.0,291000000.0,-270000000.0,-27000000.0,0.0,-27000000.0,-484000000.0,-484000000.0,1348000000.0,1348000000.0,63000000.0,,113000000.0,113000000.0,235000000.0,,,387000000.0,-274000000.0,,924000000.0,0.0,,,-484000000.0,177000000.0,177000000.0,177000000.0,-227000000.0,19000000.0,241000000.0,-46000000.0,-46000000.0,387000000.0,,,,,,0.0,,,,0.0,0.0,0.0,60000000.0,19000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2025-07-31,2050000000.0,-1056000000.0,-100000000.0,-584000000.0,51000000.0,436000000.0,5454000000.0,6244000000.0,,-790000000.0,-1457000000.0,-1457000000.0,-33000000.0,,-368000000.0,,-368000000.0,-1056000000.0,-1056000000.0,0.0,0.0,-1967000000.0,-1967000000.0,0.0,-1383000000.0,793000000.0,-2176000000.0,0.0,,0.0,,,2634000000.0,2634000000.0,588000000.0,-21000000.0,415000000.0,415000000.0,-284000000.0,,,113000000.0,,,1779000000.0,0.0,,,-584000000.0,303000000.0,303000000.0,227000000.0,-151000000.0,158000000.0,,280000000.0,280000000.0,113000000.0,,,,0.0,0.0,0.0,,48000000.0,-6000000.0,100000000.0,-100000000.0,,,,,100000000.0,76000000.0,76000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2025-04-30,1061000000.0,-1670000000.0,-100000000.0,-510000000.0,68000000.0,763000000.0,6244000000.0,6355000000.0,,-111000000.0,-1903000000.0,-1903000000.0,-37000000.0,,-325000000.0,,-325000000.0,-1541000000.0,-1670000000.0,0.0,0.0,221000000.0,221000000.0,0.0,699000000.0,1921000000.0,-1222000000.0,-1000000.0,,-1000000.0,,,1571000000.0,1571000000.0,-723000000.0,39000000.0,-189000000.0,-189000000.0,-109000000.0,,,103000000.0,,,2137000000.0,0.0,,,-510000000.0,-236000000.0,-236000000.0,337000000.0,-155000000.0,159000000.0,,4000000.0,4000000.0,103000000.0,,,,0.0,0.0,0.0,,-37000000.0,-145000000.0,100000000.0,-100000000.0,,,,,100000000.0,-573000000.0,-573000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2025-01-31,544000000.0,-1318000000.0,-200000000.0,-381000000.0,52000000.0,70000000.0,6355000000.0,8113000000.0,,-1758000000.0,-1786000000.0,-1786000000.0,-142000000.0,,-326000000.0,,-326000000.0,-1318000000.0,-1318000000.0,0.0,0.0,-897000000.0,-897000000.0,0.0,-488000000.0,1223000000.0,-1711000000.0,-28000000.0,,-28000000.0,,,925000000.0,925000000.0,-1323000000.0,-397000000.0,-764000000.0,-764000000.0,95000000.0,,,105000000.0,,,1185000000.0,0.0,,,-381000000.0,-229000000.0,-229000000.0,-429000000.0,-80000000.0,195000000.0,,668000000.0,668000000.0,105000000.0,,,,0.0,0.0,0.0,,32000000.0,115000000.0,200000000.0,-200000000.0,,,,,200000000.0,200000000.0,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2024-10-31,2168000000.0,-1442000000.0,-190000000.0,-407000000.0,68000000.0,138000000.0,8113000000.0,8378000000.0,,-265000000.0,-1769000000.0,-1769000000.0,-33000000.0,,-329000000.0,,-329000000.0,-1318000000.0,-1442000000.0,-89000000.0,-90000000.0,-1071000000.0,-1071000000.0,0.0,-664000000.0,956000000.0,-1620000000.0,0.0,,0.0,,,2575000000.0,2575000000.0,595000000.0,107000000.0,-264000000.0,-264000000.0,246000000.0,,,110000000.0,,,1731000000.0,-90000000.0,,,-407000000.0,644000000.0,644000000.0,301000000.0,147000000.0,141000000.0,,-248000000.0,-248000000.0,110000000.0,,,,124000000.0,124000000.0,1000000.0,,27000000.0,-66000000.0,101000000.0,-100000000.0,0.0,,,,101000000.0,343000000.0,343000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2024-07-31,2088000000.0,-861000000.0,-99000000.0,-297000000.0,35000000.0,213000000.0,8378000000.0,7175000000.0,,1203000000.0,-522000000.0,-522000000.0,-25000000.0,,-331000000.0,,-331000000.0,-861000000.0,-861000000.0,695000000.0,1000000.0,-660000000.0,-660000000.0,0.0,-363000000.0,382000000.0,-745000000.0,0.0,,0.0,,,2385000000.0,2385000000.0,584000000.0,131000000.0,-192000000.0,-192000000.0,48000000.0,,,95000000.0,,,1705000000.0,695000000.0,,,-297000000.0,298000000.0,298000000.0,235000000.0,123000000.0,132000000.0,,-179000000.0,-179000000.0,95000000.0,,,,0.0,0.0,0.0,,23000000.0,201000000.0,794000000.0,-100000000.0,0.0,,,,100000000.0,63000000.0,63000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,2024-01-31,2088000000.0,-861000000.0,-99000000.0,-297000000.0,35000000.0,213000000.0,8378000000.0,7175000000.0,,1203000000.0,-522000000.0,-522000000.0,-25000000.0,,-331000000.0,,-331000000.0,-861000000.0,-861000000.0,695000000.0,1000000.0,-660000000.0,-660000000.0,0.0,-363000000.0,382000000.0,-745000000.0,0.0,,0.0,,,2385000000.0,2385000000.0,584000000.0,131000000.0,-192000000.0,-192000000.0,48000000.0,,,95000000.0,,,1705000000.0,695000000.0,,,-297000000.0,298000000.0,298000000.0,235000000.0,123000000.0,132000000.0,,-179000000.0,-179000000.0,95000000.0,,,,0.0,0.0,0.0,,23000000.0,201000000.0,794000000.0,-100000000.0,1000000.0,,,,100000000.0,63000000.0,63000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
